Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,922.0,720.0,598.0,61.46666666666667,48.00000000000001,39.86666666666667
Upper2,873.0,755.0,625.0,58.20000000000001,50.33333333333333,41.66666666666667
Upper3,888.0,727.0,675.0,59.20000000000001,48.46666666666666,45.0
Upper4,898.0,749.0,697.0,59.86666666666667,49.93333333333334,46.46666666666667
Upper5,909.0,779.0,708.0,60.6,51.93333333333333,47.2
Upper6,879.0,814.0,769.0,58.599999999999994,54.26666666666667,51.26666666666667
OfAKind2,1384.0,1482.0,1500.0,92.26666666666667,98.8,100.0
OfAKind3,327.0,806.0,1082.0,21.8,53.733333333333334,72.13333333333334
OfAKind4,29.0,191.0,421.0,1.9333333333333331,12.733333333333333,28.066666666666666
OfAKind5,2.0,22.0,80.0,0.13333333333333333,1.4666666666666666,5.333333333333334
TwoPairs,389.0,455.0,345.0,25.933333333333337,30.333333333333336,23.0
SmallStraight,26.0,1.0,0.0,1.7333333333333332,0.06666666666666667,0.0
LargeStraight,19.0,0.0,0.0,1.2666666666666666,0.0,0.0
FullHouse,57.0,138.0,140.0,3.8,9.2,9.333333333333332
Chance,1500.0,1500.0,1500.0,100.0,100.0,100.0
AverageScore,162.03,,,,,
Std,42.3892568936989,,,,,
Bonus%,18.0,,,,,
